"NIH Spending Categorization","Project Terms","Project Title","Public Health Relevance","Administering IC","Application ID","Award Notice Date","FOA","Project Number","Type","Activity","IC","Serial Number","Support Year","Suffix","Program Official Information","Project Start Date","Project End Date","Study Section","Subproject Number","Contact PI Person ID","Contact PI / Project Leader","Other PI or Project Leader(s)","Congressional District","Department","Primary DUNS","Primary UEI","DUNS Number","UEI","FIPS","Latitude","Longitude","Organization ID (IPF)","Organization Name","Organization City","Organization State","Organization Type","Organization Zip","Organization Country","ARRA Indicator","Budget Start Date","Budget End Date","CFDA Code","Funding Mechanism","Fiscal Year","Total Cost","Total Cost (Sub Projects)","Funding IC(s)","Direct Cost IC","InDirect Cost IC","NIH COVID-19 Response","Total Cost IC",
"Aging; Biotechnology; Regenerative Medicine; Stem Cell Research; Stem Cell Research - Nonembryonic - Non-Human","Biological Assay;Bone Marrow;California;Cells;Computer Retrieval of Information on Scientific Projects Database;Funding;Gene Delivery;Grant;Institution;Macaca mulatta;Mesenchymal;Mesenchymal Stem Cells;Population;Primates;Proliferating;Research;Research Personnel;Resources;Source;Stem cells;United States National Institutes of Health;fetal;repaired;stem;tissue regeneration","RHESUS MESENCHYMAL STEM CELLS FOR FETAL GENE DELIVERY","n/a","NCRR","7959010","6/1/2009 12:00:00 AM"," ","5P51RR000169-48","5","P51","RR","000169","48"," "," ","5/1/2009 12:00:00 AM","4/30/2010 12:00:00 AM","ZRR1-CM-8(01)P","5272","1867958","TARANTAL, ALICE F","Not Applicable","03","VETERINARY SCIENCES","047120084","TX2DAGQPENZ5","047120084","TX2DAGQPENZ5","US","38.543675","-121.729989","577503","UNIVERSITY OF CALIFORNIA AT DAVIS","DAVIS","CA","SCHOOLS OF VETERINARY MEDICINE","956186153","UNITED STATES","N","5/1/2009 12:00:00 AM","4/30/2010 12:00:00 AM","389","Research Centers","2009","142266","142266"," "," "," "," "," ",
"Aging; Clinical Research; Osteoporosis; Regenerative Medicine; Stem Cell Research; Stem Cell Research - Nonembryonic - Human; Transplantation","Adult;Animal Model;Area;Arthritis;Attention;Biological Assay;Bone Regeneration;Cell Therapy;Cells;Defect;Development;Disease;Embryo;Generations;Goals;Healthy People 2010;Human;Legal patent;Marrow;Mesenchymal;Mesenchymal Stem Cell Transplantation;Mesenchymal Stem Cells;Molecular;National Institute of Arthritis and Musculoskeletal and Skin Diseases;Natural regeneration;Osteoporosis;Phase I Clinical Trials;Population;Positioning Attribute;Property;Regenerative Medicine;Research;Source;Spinal Fractures;Stem Cell Research;Stem cells;Testing;Tissues;United States National Institutes of Health;bone;disability;human stem cells;in vivo;prevent;product development;public health relevance;repaired;tool","Repair of boney defects by human stem cells","
Project Narrative
NeoStem will conduct research on stem cells and explore their enormous promise to produce breakthrough
therapies and cures. The study will investigate the effect of a marrow population of mesenchymal cells (MSCs)
that are very small and have embryonic-like properties (VSEL cells) that can be utilized for bone regeneration
- and ultimately for the treatment of osteoporosis. This study will test in vivo the capacity of human VSEL cells
to form bone in an animal model and regenerate a critical sized boney defect.","NIAMS","7744588","9/29/2009 12:00:00 AM","PA-08-050","1R43AR056893-01A1","1","R43","AR","056893","01","A","WANG, FEI","9/30/2009 12:00:00 AM","11/30/2011 12:00:00 AM","Special Emphasis Panel[ZRG1-MOSS-L(10)B]"," ","8839029","RODGERSON, DENIS OVEREND","TAICHMAN, RUSSELL S","07","Unavailable","042403451","USWTE8MPR7H1","042403451; 079577301","USWTE8MPR7H1","US","40.752515","-73.975378","10012001","CALADRIUS BIOSCIENCES, INC.","BASKING RIDGE","NJ","Domestic For-Profits","079204500","UNITED STATES","N","9/30/2009 12:00:00 AM","11/30/2011 12:00:00 AM","701","SBIR/STTR","2009"," "," ","NIAMS"," "," "," ","108746",
"Genetics; Pediatric","Ablation;Angiogenic Switch;Applications Grants;Biological;Bone Development;Cartilage;Cell Death;Cell Differentiation process;Cell Survival;Cells;Chondrocytes;Collagen;Data;Disease;Environment;Enzymes;Epiphysial cartilage;Fetal Development;Fetal Growth;Generations;Genetic;Hydroxylation;Hypoxia;Hypoxia Inducible Factor;In Vitro;Knowledge;Learning;Limb Bud;Malignant Neoplasms;Mediator of activation protein;Mesenchymal;Mesenchymal Differentiation;Mesenchymal Stem Cells;Mesenchyme;Metatarsal bone structure;Modeling;Molecular;Mutant Strains Mice;Organogenesis;Oxygen;Oxygen measurement, partial pressure, arterial;Phenotype;Post-Translational Protein Processing;Primordium;Process;Procollagen-Proline Dioxygenase;Protein Isoforms;Regulation;Role;Staging;Testing;Tissues;Vascular Endothelial Growth Factor A;Wild Type Mouse;Work;bone;fetal;hypoxia inducible factor 1;in vivo;insight;loss of function;mutant;public health relevance;stem cell biology;transcription factor;ubiquitin-protein ligase","ROLE OF HYPOXIA IN DIFFERENTIATION","n/a","NIAMS","7578320","3/27/2009 12:00:00 AM","PA-07-070","5R01AR048191-07","5","R01","AR","048191","07"," ","TYREE, BERNADETTE","4/15/2003 12:00:00 AM","3/31/2013 12:00:00 AM","Skeletal Biology Structure and Regeneration Study Section[SBSR]"," ","6803498","SCHIPANI, ERNESTINA ","Not Applicable","08","Unavailable","073130411","FLJ7DQKLL226","073130411","FLJ7DQKLL226","US","42.347465","-71.082058","4907701","MASSACHUSETTS GENERAL HOSPITAL","BOSTON","MA","Independent Hospitals","021142621","UNITED STATES","N","4/1/2009 12:00:00 AM","3/31/2010 12:00:00 AM","846","Non-SBIR/STTR","2009"," "," ","NIAMS"," "," "," ","341717",
"Injury (total) Accidents/Adverse Effects; Regenerative Medicine; Stem Cell Research; Stem Cell Research - Nonembryonic - Non-Human","Bone Injury;Bone Marrow;Cartilage;Cell Differentiation process;Cell model;Cells;Chondrogenesis;Defect;Deformity;Development;Environment;Epiphysial cartilage;Fatty acid glycerol esters;Fracture;Fracture Healing;Future;Gene Expression;Goals;Growth;Healed;Histology;Hypoxia;Image;In Vitro;Injury;Lead;Marrow;Mesenchymal;Mesenchymal Differentiation;Mesenchymal Stem Cells;Mus;Muscle;Mutation;Nutrient;Osteoblasts;Osteogenesis;Oxygen;Oxygen measurement, partial pressure, arterial;Pathway interactions;Physical condensation;Physiologic calcification;Play;Process;Proteoglycan;Research;Role;Signal Pathway;Skeletal Development;Stromal Cells;Testing;Time;Tissues;base;bone;cartilage cell;cartilage development;healing;hypoxia inducible factor 1;in vivo;in vivo Model;intramembranous bone formation;mouse model;osteogenic;prevent;promoter;response;single photon emission computed tomography;skeletal;skeletal regeneration;stem cell differentiation","Role of Hypoxia in Bone Formation","n/a","NIAMS","7880766"," ","RFA-AR-05-003","5P30AR046031-09","5","P30","AR","046031","09"," "," "," "," ","ZAR1","0002","8323077","GILBERT, SHAWN ROBERT","Not Applicable","07","Unavailable","063690705","YND4PLMC9AN7","063690705","YND4PLMC9AN7","US","33.506935","-86.809252","1288803","UNIVERSITY OF ALABAMA AT BIRMINGHAM","BIRMINGHAM","AL","Domestic Higher Education","352940001","UNITED STATES","N","6/1/2009 12:00:00 AM","5/31/2010 12:00:00 AM"," ","Research Centers","2009","57010","57010"," "," "," "," "," ",
"Cancer; Clinical Research; Genetics; Regenerative Medicine; Stem Cell Research; Stem Cell Research - Nonembryonic - Non-Human","Academic Medical Centers;Address;Architecture;Area;Arts;Award;Binding;Binding Sites;Biological Models;Bone Marrow;Cancer Model;Cell Line;Cell Proliferation;Cells;Data;Defect;Dependence;Development;Disease;Down-Regulation;Event;Exhibits;Founder Generation;Future;Herbert Irving Comprehensive Cancer Center;Human;Immunohistochemistry;In Vitro;Lasers;Lead;Lesion;Maintenance;Malignant Neoplasms;Mediating;Mentors;Mesenchymal;Mesenchymal Differentiation;Mesenchymal Stem Cells;Mesenchyme;Monitor;Mus;Musculoskeletal;Musculoskeletal Development;Oncogenes;Pathogenesis;Phenotype;Physiological;Prognostic Marker;Proliferating;RNA Interference;Regulation;Research;Research Personnel;Role;Secondary to;Signal Transduction;Small Interfering RNA;Stimulus;Testing;Therapeutic;Tissue Engineering;Tissues;Training;Transcriptional Regulation;Transgenic Mice;Translating;Tumorigenicity;Undifferentiated;Work;base;career;chromatin immunoprecipitation;design;in vivo;inhibitor/antagonist;jun Oncogene;mouse model;novel;novel diagnostics;overexpression;prevent;progenitor;promoter;sarcoma;stem cell biology;stem cell differentiation;therapeutic target;tissue regeneration;transcription factor;tumor;tumorigenesis;tumorigenic","The role of DKK1, a Wnt-Inhibitor, in Mesenchymal Differentiation/Sarcomagenesis","n/a","NCI","7586882","1/15/2009 12:00:00 AM","PA-06-512","1K08CA132986-01A1","1","K08","CA","132986","01","A","MYRICK, DORKINA C","1/15/2009 12:00:00 AM","12/31/2013 12:00:00 AM","Transition to Independence Study Section (I)[NCI-I]"," ","1900840","MATUSHANSKY, IGOR ","Not Applicable","13","INTERNAL MEDICINE/MEDICINE","621889815","QHF5ZZ114M72","621889815","QHF5ZZ114M72","US","40.841253","-73.940404","1833205","COLUMBIA UNIVERSITY HEALTH SCIENCES","NEW YORK","NY","SCHOOLS OF MEDICINE","100323725","UNITED STATES","N","1/15/2009 12:00:00 AM","12/31/2009 12:00:00 AM","398","Other Research-Related","2009"," "," ","NCI"," "," "," ","169884",
"Obesity; Regenerative Medicine; Stem Cell Research; Stem Cell Research - Nonembryonic - Non-Human; Transplantation","Adipocytes;Blood Cells;Bone Diseases;Bone Marrow;Bone Marrow Cells;Bone Tissue;Brain;Cartilage;Cell Transplantation;Cells;Chondrocytes;Colony-forming units;Data;Development;Disease;Distraction Osteogenesis;Fatty acid glycerol esters;Fibroblasts;Fracture;Genetic;Glomerular Mesangial Cell;Goals;Heart Valves;Hematopoietic;Hematopoietic Stem Cell Transplantation;Hematopoietic stem cells;Histocompatibility Testing;In Vitro;Injury;Joints;Knowledge;Laboratories;Mesenchymal;Mesenchymal Stem Cells;Microglia;Modality;Modeling;Molecular;Mus;Myofibroblast;Obesity;Osteoblasts;Osteoclasts;Osteocytes;Population;Series;Side;Site;Stem cells;Testing;Tissues;Transplantation;bone;cell type;in vivo;mast cell;mouse model;novel therapeutics;osteoprogenitor cell;progenitor;reconstitution;research study;tumor","Hematopoietic Origin of Mesenchymal Cells","n/a","NIDDK","7575079","2/3/2009 12:00:00 AM","PA-07-070","5R01DK077821-02","5","R01","DK","077821","02"," ","WRIGHT, DANIEL G","3/1/2008 12:00:00 AM","2/28/2011 12:00:00 AM","Hematopoiesis Study Section[HP]"," ","1883541","OGAWA, MAKIO ","Not Applicable","01","INTERNAL MEDICINE/MEDICINE","183710748","NHV3GTWSALA7","183710748","NHV3GTWSALA7","US","32.788289","-79.954891","7575301","MEDICAL UNIVERSITY OF SOUTH CAROLINA","CHARLESTON","SC","SCHOOLS OF MEDICINE","294074636","UNITED STATES","N","3/1/2009 12:00:00 AM","2/28/2011 12:00:00 AM","847","Non-SBIR/STTR","2009"," "," ","NIDDK"," "," "," ","267750",
"Regenerative Medicine; Stem Cell Research; Stem Cell Research - Nonembryonic - Non-Human; Transplantation","Affect;Anatomy;Animals;Behavior;Behavioral;Bone Marrow;Brain;Computer Retrieval of Information on Scientific Projects Database;Disease;Engraftment;Funding;Goals;Grant;Institution;Macaca mulatta;Mesenchymal Stem Cells;Motor;Neurologic;New England;Performance;Primates;Research;Research Personnel;Resources;Safety;Source;Stem cell transplant;United States National Institutes of Health;base;nonhuman primate;performance tests;vector","SAFETY OF MESENCHYMAL STEM CELL ADMINISTRATION TO THE CNS OF RHESUS MACAQUES","n/a","NCRR","7958350","6/26/2009 12:00:00 AM"," ","5P51RR000168-48","5","P51","RR","000168","48"," "," ","5/1/2009 12:00:00 AM","4/30/2010 12:00:00 AM","ZRR1-CM-8(01)","8553","2477114","PHINNEY, DONALD G","Not Applicable","07","VETERINARY SCIENCES","047006379","JDLVAVGYJQ21","047006379","JDLVAVGYJQ21","US","42.335814","-71.105033","3212902","HARVARD MEDICAL SCHOOL","BOSTON","MA","SCHOOLS OF MEDICINE","021201616","UNITED STATES","N","5/1/2009 12:00:00 AM","4/30/2010 12:00:00 AM","389","Research Centers","2009","64877","64877"," "," "," "," "," ",
"Asthma; Lung","Address;Adrenal Cortex Hormones;Alveolar;Anti-Inflammatory Agents;Anti-inflammatory;Asthma;Biological Markers;Bone Marrow;Cell Cycle Kinetics;Chronic;Collagen;Data;Deposition;Development;Epithelial;Epithelial Cells;Fibroblasts;Fibrosis;Future;Generations;Human;Inflammation;Injury;Kidney;Link;Lung;Mesenchymal;Modeling;Molecular;Monitor;Mus;Myofibroblast;Organ;Pathogenesis;Pathway interactions;Patients;Pharmaceutical Preparations;Predisposition;Process;Proteins;Regulation;Source;Stem cells;Stimulus;Testing;Therapeutic;Trauma;airway inflammation;airway remodeling;allergic airway inflammation;connective tissue growth factor;epithelial to mesenchymal transition;genetic regulatory protein;human subject;improved;in vivo;prevent;response;transdifferentiation","Mechanisms and control of epithelial to mesenchymal transition in chronic asthma","n/a","NIAID","7919479"," ","RFA-AI-05-027","5U19AI070535-04","5","U19","AI","070535","04"," "," "," "," ","ZAI1","0004","1865564","ZURAW, BRUCE L.","Not Applicable","52","Unavailable","804355790","UYTTZT6G9DT1","804355790","UYTTZT6G9DT1","US","32.881785","-117.236973","577507","UNIVERSITY OF CALIFORNIA, SAN DIEGO","LA JOLLA","CA","Domestic Higher Education","920930621","UNITED STATES","N","9/1/2009 12:00:00 AM","8/31/2010 12:00:00 AM"," ","Non-SBIR/STTR","2009","282850","282850"," "," "," "," "," ",
"Aging; Arthritis; Bioengineering; Regenerative Medicine","Adult;Affect;Aging;Arthritis;Award;Biochemical;Biological Assay;Biomedical Engineering;Cartilage;Cartilage injury;Cells;Chickens;Chondrocytes;Chondrogenesis;Deposition;Deterioration;Developed Countries;Development;Disease;Embryo;Engineering;Enzymes;Epiphysial cartilage;Event;Face;Foundations;Frequencies;Goals;Healed;Health;Hypertrophy;Implant;In Vitro;Joints;Limb Bud;Link;Mediating;Mesenchymal;Mesenchymal Differentiation;Mesenchymal Stem Cells;Molecular;NIH Program Announcements;National Institute of Arthritis and Musculoskeletal and Skin Diseases;Osteoblasts;Pathology;Phenotype;Play;Population;Prevention;Proliferating;Regulation;Research;Research Personnel;Resistance;Role;Signal Pathway;Signal Transduction;Staging;Testing;Therapeutic;Tissue Engineering;Tissues;Transglutaminases;Translational Research;Trauma;United States;Universities;Up-Regulation;Vascularization;Viral;Work;arthritis therapy;articular cartilage;cartilage cell;extracellular;healing;in vivo;inhibitor/antagonist;novel;overexpression;public health relevance;regenerative;repaired;skeletal disorder;tool;transglutaminase 2","Transglutaminase 2 in cartilage formation","
Deterioration of cartilage due to trauma or disease, most notably arthritis, affects over 20% of adults
in United States, and the frequency of this pathology is projected to further increase with the aging of
population. Healing of damaged cartilage is extremely inefficient, therefore creating cartilage implants
in vitro has recently been put forward as a promising therapeutic approach. The goal of this study is
to characterize the molecular mechanisms that govern cartilage formation both in vivo and in vitro,
and thus to provide molecular tools for bioengineering of robust and stable cartilage implants.","NIAMS","7644225","9/9/2009 12:00:00 AM","PAR-06-383","1R03AR057126-01","1","R03","AR","057126","01"," ","TYREE, BERNADETTE","9/9/2009 12:00:00 AM","8/31/2011 12:00:00 AM","ZAR1-EHB-D(M1)"," ","6061673","NURMINSKAYA, MARIA ","Not Applicable","07","BIOCHEMISTRY","188435911","Z9CRZKD42ZT1","188435911","Z9CRZKD42ZT1","US","39.291412","-76.624753","820104","UNIVERSITY OF MARYLAND BALTIMORE","BALTIMORE","MD","SCHOOLS OF MEDICINE","212011508","UNITED STATES","N","9/9/2009 12:00:00 AM","8/31/2010 12:00:00 AM","701","Non-SBIR/STTR","2009"," "," ","NIAMS"," "," "," ","75000",
"Eye Disease and Disorders of Vision; Genetics; Neurosciences","Back;Binding;Boxing;Cells;Characteristics;Complication;Corneal Endothelium;Corneal dystrophy;Development;E-Cadherin;Ectopic Expression;Embryonic Development;Epithelial;Equilibrium;Exhibits;Eye;Eye diseases;Gene Expression;Genes;Genetic Transcription;Human;Knockout Mice;Link;Mesenchymal;Molecular;Morphology;Mus;Mutant Strains Mice;Mutation;Normal tissue morphology;Pathologic;Patients;Phenotype;Pigments;Principal Investigator;Proliferative Vitreoretinopathy;Repression;Retinal Detachment;Retinal Pigments;Role;Series;Specific qualifier value;Structure of retinal pigment epithelium;Zinc Fingers;base;epithelial to mesenchymal transition;homeodomain;in vivo;overexpression;prevent;programs;public health relevance;research study;transcription factor","Zeb1 and epithelial-mesenchymal balance in the eye","n/a","NEI","7663058","7/9/2009 12:00:00 AM","PA-06-181","5R21EY019113-02","5","R21","EY","019113","02"," ","MARIANI, ANDREW P","8/1/2008 12:00:00 AM","7/31/2011 12:00:00 AM","Anterior Eye Disease Study Section[AED]"," ","1877760","DEAN, DOUGLAS CHASE","Not Applicable","03","OPHTHALMOLOGY","057588857","E1KJM4T54MK6","057588857","E1KJM4T54MK6","US","38.185212","-85.660469","4679701","UNIVERSITY OF LOUISVILLE","LOUISVILLE","KY","SCHOOLS OF MEDICINE","402920001","UNITED STATES","N","8/1/2009 12:00:00 AM","7/31/2011 12:00:00 AM","867","Non-SBIR/STTR","2009"," "," ","NEI"," "," "," ","222000",
